TIPO DE MORTE;HORA;BAIRRO DA OCORRENCIA;LOGRADOURO DA OCORRENCIA;GENERO;ETNIA;IDADE;PROFISSAO;ESCOLARIDADE;INSTRUMENTO UTILIZADO;MES;DIA;DIA DA SEMANA;FAIXA ;HORARIO APROXIMADO;TURNO
HOMICIDIO;00:59;CANDELÁRIA;AV PRUDENTE DE MORAIS - ENCONTRADO NA CELA DA CDP DE CANDELARIA;MASCULINO;BRANCA;30;BOMBEIRO HIDRAULICO;NI;ASFIXIA MECANICA PROVOCADA;novembro;2;quarta-feira;ADULTO;1;NOTURNO
HOMICIDIO;13:55;CIDADE ALTA;R DA MISERICORDIA, PACO DA PATRIA;MASCULINO;NEGRA;35;PEDREIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;março;27;domingo;ADULTO;14;VESPERTINO
HOMICIDIO;04:00;CIDADE ALTA;RIO POTENGI - PASSO DA PATRIA;MASCULINO;PARDA;50;AUTONOMO(A);ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO /ARMA BRANCA;outubro;13;quinta-feira;ADULTO;4;MADRUGADA
HOMICIDIO;05:47;CIDADE ALTA;TV OCIDENTAL DE BAIXO, EM FRENTE AO N°.16, PAÇO DA PÁTRIA;MASCULINO;PARDA;26;SERRALHEIRO;ENSINO MEDIO COMPLETO;ARMA DE FOGO;junho;19;domingo;ADULTO;6;MADRUGADA
HOMICIDIO;08:00;CIDADE ALTA;PACO DA PATRIA;MASCULINO;PARDA;42;PESCADOR;NI;ARMA BRANCA;fevereiro;23;terça-feira;ADULTO;8;MATUTINO
HOMICIDIO;21:36;CIDADE ALTA;R ESCOTEIRO ANDANTE;MASCULINO;PARDA;28;MORADOR DE RUA;NI;ARMA BRANCA;março;26;sábado;ADULTO;22;NOTURNO
HOMICIDIO;06:56;CIDADE ALTA;R PRINCESA ISABEL;MASCULINO;PARDA;28;MORADOR DE RUA;NI;ARMA BRANCA;janeiro;14;quinta-feira;ADULTO;7;MATUTINO
HOMICIDIO;20:40;CIDADE ALTA;RUA HUMAITÁ, EM FRENTE AO N° 700, PAÇO DA PATRIA;MASCULINO;NEGRA;26;PESCADOR;NI;ARMA BRANCA;junho;17;sexta-feira;ADULTO;21;NOTURNO
HOMICIDIO;05:40;CIDADE ALTA;PEDRA DO ROSARIO, PACO DA PATRIA;MASCULINO;NEGRA;19;DESEMPREGADO;NI;ARMA DE FOGO;março;23;quarta-feira;ADULTO;6;MADRUGADA
LESAO CORPORAL SEGUIDA DE MORTE;09:21;CIDADE ALTA;PEDRA DO ROSARIO, PACO DA PATRIA;MASCULINO;NEGRA;37;DESEMPREGADO;NI;ARMA DE FOGO;maio;3;terça-feira;ADULTO;9;MATUTINO
HOMICIDIO;20:07;CIDADE ALTA;R BEIRA CANAL, EM FRENTE AO NUMERO 4 B, PACO DA PATRIA;MASCULINO;PARDA;36;SEM PROFISSAO;NI;ARMA DE FOGO;janeiro;15;sexta-feira;ADULTO;20;NOTURNO
HOMICIDIO;00:22;CIDADE ALTA;R NSA SRA DA PAZ, 92, PACO DA PATRIA;MASCULINO;PARDA;30;SEM PROFISSAO;NI;ARMA DE FOGO;janeiro;6;quarta-feira;ADULTO;0;NOTURNO
HOMICIDIO;17:56;CIDADE ALTA;RUA BEIRA CANAL, PACO DA PATRIA;MASCULINO;NEGRA;23;SEM PROFISSAO;NI;ARMA DE FOGO;junho;3;sexta-feira;ADULTO;18;VESPERTINO
HOMICIDIO;00:17;CIDADE ALTA;RUA NOSSA SENHORA APARECIDA;MASCULINO;PARDA;22;NI;NI;ARMA DE FOGO;novembro;20;domingo;ADULTO;0;NOTURNO
HOMICIDIO;NI;CIDADE ALTA;RUA PAULO BARBOSA - AO LADO CASA 522;MASCULINO;PARDA;40;PESCADOR;NI;ARMA DE FOGO;setembro;29;quinta-feira;ADULTO;NI;NI
HOMICIDIO;20:20;CIDADE ALTA;RUA PRINCESA ISABEL Nº 328;MASCULINO;PARDA;34;NI;NI;ARMA DE FOGO;dezembro;19;segunda-feira;ADULTO;20;NOTURNO
